target_date,sentiment,abnormal_return,market_return,articles,tickers
2022-10-03,-0.14285714285714285,-0.17182316982645776,-4.117685220911394,9,7
2022-10-04,-0.16666666666666666,-1.9025977503308444,-0.766896181146886,6,6
2022-10-05,0.07142857142857142,1.7746674508588398,2.393809318952159,8,7
2022-10-06,0.0,-0.5053536802381648,-2.7301377138083933,12,9
2022-10-07,0.0,-0.22361787593248333,-3.659378275894115,7,4
2022-10-10,0.1,2.547571701689914,0.6322222377736505,11,10
2022-10-11,0.0,-2.0505584641957713,-3.5421630779432305,4,4
2022-10-12,0.0,-0.35874910698485535,2.803697591109357,5,4
2022-10-13,-0.16666666666666666,0.35702170719810217,1.5514742115514746,7,6
2022-10-14,0.0,4.054447880143845,1.028009280448136,3,3
2022-10-17,0.01176470588235294,1.534402642077878,-0.971887485170393,23,17
2022-10-18,0.0,1.9218222988737204,1.1421995926185295,4,3
2022-10-19,0.0,-2.9522755640375338,-0.3380847301222812,6,5
2022-10-20,0.0,-3.090275587085538,-0.15293698579774198,4,4
2022-10-21,0.09090909090909091,-0.4409089635467115,-3.7179432686273985,12,11
2022-10-24,0.2727272727272727,-0.42718272353760406,-3.3572947267802746,15,11
2022-10-25,-0.1,0.33280490587403855,1.1644157069949188,10,10
2022-10-26,0.1111111111111111,-0.17148725106880228,-0.4359493810874788,9,9
2022-10-27,0.16666666666666666,1.5695570709741928,3.4287037485669907,9,6
2022-10-28,-0.1,0.046878581710428156,-0.0632489548518375,11,10
2022-10-31,0.1111111111111111,-1.0780816969306315,0.056439450727031965,24,18
