label,events,mean_sentiment,mean_return,mean_abnormal_return,median_abnormal_return,mean_article_count
negative,10,-1.0,-1.4766618339114421,-0.36651956087379495,-1.2829092098880746,1.0
neutral,172,0.0,-0.8231389998238499,0.11047524229531208,0.13220549334996665,1.0058479532163742
positive,18,1.0,0.3498075776976609,1.163650151183333,0.9237264819896958,1.0
