design,lag,n,mean_ar,median_ar,negative_mean_ar,neutral_mean_ar,positive_mean_ar
lag_0,0,200,-0.09176078348058259,-0.056439450727031965,-0.7884438382979688,-0.16173835737662626,0.8939823791952285
lag_1,1,176,-0.1821037314275918,-0.16316980050722146,0.33678053083160175,0.06289910278234982,-2.733052080823195
lag_2,2,165,-0.1729422080284852,-0.05970584966990117,-1.234405739415738,-0.06846862572991139,-0.406677275017582
lag_3,3,155,-0.5969165443569702,-0.5613288546499204,-2.65538127926896,-0.48628437151102083,-0.1760252967888243
lag_5,5,136,-0.658775871655991,-0.3382942664331563,0.44792518127587666,-0.8584778376447956,0.5250511367360636
lag_10,10,95,-0.44255290019050286,-0.5058021344641783,-0.4421612135068222,-0.20164143009053076,-4.152981226413752
