ticker,target_date,abnormal_return,sentiment_score,article_count,label,news_event
ACB,2022-10-03,1.0539747253090148,0.0,2.0,neutral,1
ACB,2022-10-04,-2.0936237578999597,,0.0,no_news,0
ACB,2022-10-05,-3.2341153855995053,,0.0,no_news,0
ACB,2022-10-06,-1.4323992852284788,,0.0,no_news,0
ACB,2022-10-07,-3.5466140985739005,,0.0,no_news,0
ACB,2022-10-10,-0.30729763720926967,,0.0,no_news,0
ACB,2022-10-11,-3.3599475054488495,,0.0,no_news,0
ACB,2022-10-12,3.9989605736635165,,0.0,no_news,0
ACB,2022-10-13,4.961369779055455,,0.0,no_news,0
ACB,2022-10-14,3.368859176580346,,0.0,no_news,0
ACB,2022-10-17,1.361759140550894,0.0,1.0,neutral,1
ACB,2022-10-18,1.0442465689331781,,0.0,no_news,0
ACB,2022-10-19,-1.1071996944991227,,0.0,no_news,0
ACB,2022-10-20,1.327589853444655,,0.0,no_news,0
ACB,2022-10-21,-1.0718786678116885,,0.0,no_news,0
ACB,2022-10-24,-1.4258495223332899,0.0,1.0,neutral,1
ACB,2022-10-25,3.436951719259718,-1.0,1.0,negative,1
ACB,2022-10-26,1.5396438975356004,,0.0,no_news,0
ACB,2022-10-27,3.3221418037735817,,0.0,no_news,0
ACB,2022-10-28,1.1910517506282345,,0.0,no_news,0
ACB,2022-10-31,0.36060320429255943,,0.0,no_news,0
AMD,2022-10-03,-0.3753872026380858,,0.0,no_news,0
AMD,2022-10-04,0.5748733844185516,,0.0,no_news,0
AMD,2022-10-05,-2.8805718885755858,,0.0,no_news,0
AMD,2022-10-06,-1.0792493975983284,,0.0,no_news,0
AMD,2022-10-07,-0.7682502435801268,,0.0,no_news,0
AMD,2022-10-10,-2.4241804042296344,,0.0,no_news,0
AMD,2022-10-11,-0.8385319741222306,,0.0,no_news,0
AMD,2022-10-12,-1.9403693731584464,,0.0,no_news,0
AMD,2022-10-13,5.067392439423739,,0.0,no_news,0
AMD,2022-10-14,5.426580231501848,,0.0,no_news,0
AMD,2022-10-17,8.668343876916065,,0.0,no_news,0
AMD,2022-10-18,1.4828769619223352,,0.0,no_news,0
AMD,2022-10-19,-5.845147969542889,0.0,1.0,neutral,1
AMD,2022-10-20,-5.941129205127328,,0.0,no_news,0
AMD,2022-10-21,-0.3775719593919362,,0.0,no_news,0
AMD,2022-10-24,-1.380442995178865,,0.0,no_news,0
AMD,2022-10-25,4.484682281884452,,0.0,no_news,0
AMD,2022-10-26,-0.2182219825108933,,0.0,no_news,0
AMD,2022-10-27,1.6412039032393846,,0.0,no_news,0
AMD,2022-10-28,-0.7041650960751722,,0.0,no_news,0
AMD,2022-10-31,-4.766112512703589,,0.0,no_news,0
BID,2022-10-03,-1.485177120838789,,0.0,no_news,0
BID,2022-10-04,-0.8255394671154088,,0.0,no_news,0
BID,2022-10-05,-1.0087280364128324,,0.0,no_news,0
BID,2022-10-06,1.192478088184136,,0.0,no_news,0
BID,2022-10-07,-0.9715858425924466,,0.0,no_news,0
BID,2022-10-10,1.6305037325106102,,0.0,no_news,0
BID,2022-10-11,-0.241943009354312,,0.0,no_news,0
BID,2022-10-12,2.5214582233441254,,0.0,no_news,0
BID,2022-10-13,4.0148849799583655,-1.0,1.0,negative,1
BID,2022-10-14,0.08832314953290177,,0.0,no_news,0
BID,2022-10-17,0.319087068911451,,0.0,no_news,0
BID,2022-10-18,-1.4843892664420155,,0.0,no_news,0
BID,2022-10-19,0.9657340459063436,,0.0,no_news,0
BID,2022-10-20,0.520836963463452,,0.0,no_news,0
BID,2022-10-21,3.4245678226239393,0.0,1.0,neutral,1
BID,2022-10-24,-2.5584660289300913,,0.0,no_news,0
BID,2022-10-25,1.3048112888194483,0.0,1.0,neutral,1
BID,2022-10-26,1.7466995790731255,0.0,1.0,neutral,1
BID,2022-10-27,1.695573436556768,,0.0,no_news,0
BID,2022-10-28,-0.3643523828449923,0.0,1.0,neutral,1
BID,2022-10-31,1.9986722544750086,0.0,1.0,neutral,1
BIG,2022-10-03,-4.31855368753552,,0.0,no_news,0
BIG,2022-10-04,-2.9626551434446657,,0.0,no_news,0
BIG,2022-10-05,0.5249333661183986,,0.0,no_news,0
BIG,2022-10-06,2.2565297197397047,,0.0,no_news,0
BIG,2022-10-07,14.521239240733202,,0.0,no_news,0
BIG,2022-10-10,-1.4752707667558422,,0.0,no_news,0
BIG,2022-10-11,4.0648372342958705,,0.0,no_news,0
BIG,2022-10-12,6.312255994329195,,0.0,no_news,0
BIG,2022-10-13,8.495371305446024,,0.0,no_news,0
BIG,2022-10-14,2.705466112015024,,0.0,no_news,0
BIG,2022-10-17,4.709767688836867,,0.0,no_news,0
BIG,2022-10-18,-0.6491620548307204,,0.0,no_news,0
BIG,2022-10-19,-5.488641674221261,,0.0,no_news,0
BIG,2022-10-20,-15.87411410115314,,0.0,no_news,0
BIG,2022-10-21,-1.6783586641520294,,0.0,no_news,0
BIG,2022-10-24,2.37666847030675,,0.0,no_news,0
BIG,2022-10-25,-3.3136109744556945,,0.0,no_news,0
BIG,2022-10-26,4.68781089264918,,0.0,no_news,0
