label,panel_events,mean_sentiment,mean_abnormal_return,median_abnormal_return,mean_article_count,mean_event_rows
negative,10,-1.0,-0.3665195608737949,-1.2829092098880746,1.0,1.0
neutral,139,0.008633093525179856,0.04023952270158638,-0.06551316409653651,1.2302158273381294,1.2374100719424461
positive,15,0.9,0.9067998581218712,0.4795930800219059,1.2,1.2
