ticker,published_date,sentiment_score,article_count,positive_count,neutral_count,negative_count,negative_share,positive_share,neutral_share
ITA,2022-10-29,0.0,1,0,1,0,0.0,0.0,1.0
KBC,2022-10-16,0.0,1,0,1,0,0.0,0.0,1.0
LHG,2022-10-03,0.0,1,0,1,0,0.0,0.0,1.0
LHG,2022-10-18,0.0,1,0,1,0,0.0,0.0,1.0
LPB,2022-10-10,0.0,1,0,1,0,0.0,0.0,1.0
LPB,2022-10-20,0.0,1,0,1,0,0.0,0.0,1.0
LPB,2022-10-24,0.0,1,0,1,0,0.0,0.0,1.0
LPB,2022-10-25,0.0,1,0,1,0,0.0,0.0,1.0
MBS,2022-10-01,0.0,1,0,1,0,0.0,0.0,1.0
MBS,2022-10-05,0.0,1,0,1,0,0.0,0.0,1.0
MBS,2022-10-09,1.0,1,1,0,0,0.0,1.0,0.0
MBS,2022-10-20,1.0,1,1,0,0,0.0,1.0,0.0
MBS,2022-10-23,0.0,1,0,1,0,0.0,0.0,1.0
MBS,2022-10-30,0.0,1,0,1,0,0.0,0.0,1.0
MSH,2022-10-20,0.0,1,0,1,0,0.0,0.0,1.0
MWG,2022-10-14,0.0,1,0,1,0,0.0,0.0,1.0
MWG,2022-10-28,0.0,1,0,1,0,0.0,0.0,1.0
NKG,2022-10-28,0.0,1,0,1,0,0.0,0.0,1.0
NVL,2022-10-06,0.0,1,0,1,0,0.0,0.0,1.0
NVL,2022-10-11,0.0,1,0,1,0,0.0,0.0,1.0
OCB,2022-10-01,-1.0,1,0,0,1,1.0,0.0,0.0
OCB,2022-10-14,0.0,1,0,1,0,0.0,0.0,1.0
OCB,2022-10-16,0.0,1,0,1,0,0.0,0.0,1.0
OCB,2022-10-18,0.0,1,0,1,0,0.0,0.0,1.0
OCB,2022-10-27,0.0,1,0,1,0,0.0,0.0,1.0
OCB,2022-10-29,0.0,1,0,1,0,0.0,0.0,1.0
OCB,2022-10-30,0.0,1,0,1,0,0.0,0.0,1.0
PNJ,2022-10-24,0.0,1,0,1,0,0.0,0.0,1.0
POW,2022-10-10,0.0,1,0,1,0,0.0,0.0,1.0
POW,2022-10-27,0.0,1,0,1,0,0.0,0.0,1.0
POW,2022-10-29,0.0,1,0,1,0,0.0,0.0,1.0
PVD,2022-10-14,1.0,1,1,0,0,0.0,1.0,0.0
REE,2022-10-08,0.0,1,0,1,0,0.0,0.0,1.0
REE,2022-10-16,1.0,1,1,0,0,0.0,1.0,0.0
REE,2022-10-28,0.0,1,0,1,0,0.0,0.0,1.0
SAB,2022-10-20,0.0,2,0,2,0,0.0,0.0,1.0
SAB,2022-10-24,-1.0,1,0,0,1,1.0,0.0,0.0
SAB,2022-10-27,0.0,1,0,1,0,0.0,0.0,1.0
SHB,2022-10-01,0.0,1,0,1,0,0.0,0.0,1.0
SHB,2022-10-10,0.0,1,0,1,0,0.0,0.0,1.0
SHB,2022-10-14,0.0,2,0,2,0,0.0,0.0,1.0
SHB,2022-10-20,0.0,1,0,1,0,0.0,0.0,1.0
SHB,2022-10-22,0.0,1,0,1,0,0.0,0.0,1.0
SHB,2022-10-25,0.0,1,0,1,0,0.0,0.0,1.0
SHB,2022-10-27,-1.0,1,0,0,1,1.0,0.0,0.0
SSI,2022-10-03,0.0,1,0,1,0,0.0,0.0,1.0
SSI,2022-10-04,0.5,2,1,1,0,0.0,0.5,0.5
SSI,2022-10-08,0.0,1,0,1,0,0.0,0.0,1.0
SSI,2022-10-11,0.0,2,0,2,0,0.0,0.0,1.0
SSI,2022-10-18,0.0,1,0,1,0,0.0,0.0,1.0
SSI,2022-10-20,-1.0,1,0,0,1,1.0,0.0,0.0
SSI,2022-10-21,0.0,1,0,1,0,0.0,0.0,1.0
SSI,2022-10-27,0.0,1,0,1,0,0.0,0.0,1.0
SSI,2022-10-28,0.0,1,0,1,0,0.0,0.0,1.0
STB,2022-10-10,0.0,1,0,1,0,0.0,0.0,1.0
TCB,2022-10-20,0.0,1,0,1,0,0.0,0.0,1.0
TCB,2022-10-21,1.0,1,1,0,0,0.0,1.0,0.0
TCB,2022-10-24,0.0,1,0,1,0,0.0,0.0,1.0
TCB,2022-10-27,0.0,1,0,1,0,0.0,0.0,1.0
TCB,2022-10-28,1.0,1,1,0,0,0.0,1.0,0.0
TCB,2022-10-29,0.0,1,0,1,0,0.0,0.0,1.0
TGG,2022-10-08,0.0,1,0,1,0,0.0,0.0,1.0
TNI,2022-10-25,0.0,1,0,1,0,0.0,0.0,1.0
VCB,2022-10-13,0.0,1,0,1,0,0.0,0.0,1.0
VCB,2022-10-14,0.0,1,0,1,0,0.0,0.0,1.0
VIC,2022-10-03,0.0,1,0,1,0,0.0,0.0,1.0
VIC,2022-10-04,0.0,1,0,1,0,0.0,0.0,1.0
VIC,2022-10-07,0.0,1,0,1,0,0.0,0.0,1.0
VIC,2022-10-11,0.0,1,0,1,0,0.0,0.0,1.0
VIC,2022-10-12,0.0,1,0,1,0,0.0,0.0,1.0
VIX,2022-10-19,0.0,1,0,1,0,0.0,0.0,1.0
VIX,2022-10-21,1.0,1,1,0,0,0.0,1.0,0.0
VND,2022-10-01,0.0,1,0,1,0,0.0,0.0,1.0
VND,2022-10-03,-1.0,1,0,0,1,1.0,0.0,0.0
VND,2022-10-06,0.0,2,0,2,0,0.0,0.0,1.0
VND,2022-10-09,0.0,1,0,1,0,0.0,0.0,1.0
VND,2022-10-12,0.0,1,0,1,0,0.0,0.0,1.0
VND,2022-10-13,0.0,1,0,1,0,0.0,0.0,1.0
VND,2022-10-14,-1.0,1,0,0,1,1.0,0.0,0.0
VND,2022-10-17,0.0,2,0,2,0,0.0,0.0,1.0
VND,2022-10-19,-1.0,1,0,0,1,1.0,0.0,0.0
VND,2022-10-26,0.0,1,0,1,0,0.0,0.0,1.0
VND,2022-10-28,0.0,2,0,2,0,0.0,0.0,1.0
VND,2022-10-31,0.0,1,0,1,0,0.0,0.0,1.0
VNM,2022-10-09,0.0,1,0,1,0,0.0,0.0,1.0
VPB,2022-10-03,0.0,1,0,1,0,0.0,0.0,1.0
VPS,2022-10-05,0.0,2,0,2,0,0.0,0.0,1.0
VPS,2022-10-21,1.0,1,1,0,0,0.0,1.0,0.0
VPS,2022-10-27,0.0,2,0,2,0,0.0,0.0,1.0
VRE,2022-10-26,0.0,1,0,1,0,0.0,0.0,1.0
VVS,2022-10-07,0.0,1,0,1,0,0.0,0.0,1.0
