metric,score
ROUGE-1,0.0000
ROUGE-2,0.0000
ROUGE-L,0.0000
BLEU,0.0000
Exact Match,0.0000
Token F1,0.0000
Accuracy (sentiment),0.9687
F1-macro (sentiment),0.9684
F1-weighted (sentiment),0.9687
